#语料规模:2000万字||||||
#只列入出现次数大于50次的词||||||
#下载自www.cncorpus.org语料库在线网站||||||
||||||
||||||
id|词语|出现次数|频率|词类名称|词类标记|累积频率
464.0|一下|2676.0|0.028|数量|mq|49.3715
465.0|程度|2670.0|0.0279|名词|n|49.3994
466.0|等等|2664.0|0.0279|助词|u|49.4273
467.0|低|2662.0|0.0279|形容词|a|49.4552
468.0|分子|2657.0|0.0278|名词|n|49.483
469.0|那样|2649.0|0.0277|代词|r|49.5384
470.0|原来|2649.0|0.0277|副词|d|49.5107
471.0|感到|2645.0|0.0277|动词|v|49.5661
472.0|不过|2634.0|0.0276|连词|c|49.5937
473.0|条|2633.0|0.0276|名词|n|49.6489
474.0|八|2633.0|0.0276|数词|m|49.6765
475.0|方式|2633.0|0.0276|名词|n|49.6213
476.0|甚至|2630.0|0.0275|副词|d|49.704
477.0|资产阶级|2627.0|0.0275|名词|n|49.7315
478.0|范围|2625.0|0.0275|名词|n|49.759
479.0|像|2617.0|0.0274|动词|v|49.7864
480.0|指出|2603.0|0.0272|动词|v|49.8136
481.0|音乐|2603.0|0.0272|名词|n|49.8408
482.0|叫做|2602.0|0.0272|动词|v|49.868
483.0|随着|2599.0|0.0272|介词|p|49.8952
484.0|上|2595.0|0.0272|动词|v|49.9224
485.0|与|2595.0|0.0272|介词|p|49.9496
486.0|部|2593.0|0.0271|名词|n|49.9767
487.0|声音|2590.0|0.0271|名词|n|50.0038
488.0|造成|2589.0|0.0271|动词|v|50.0309
489.0|第|2587.0|0.0271|前接成分|h|50.058
490.0|然而|2581.0|0.027|连词|c|50.085
491.0|改革|2580.0|0.027|动词|v|50.112
492.0|看见|2573.0|0.0269|动词|v|50.1389
493.0|时期|2569.0|0.0269|时间名词|nt|50.1658
494.0|动物|2569.0|0.0269|名词|n|50.1927
495.0|正在|2566.0|0.0269|副词|d|50.2196
496.0|书|2561.0|0.0268|名词|n|50.2464
497.0|往往|2543.0|0.0266|副词|d|50.273
498.0|因而|2542.0|0.0266|连词|c|50.2996
499.0|大量|2541.0|0.0266|形容词|a|50.3262
500.0|这么|2539.0|0.0266|代词|r|50.3528
501.0|植物|2535.0|0.0265|名词|n|50.3793
